Sr. No,Semester,Course Code,Course Title,Credit Hours,Grade,Grade Point,SGPA,CGPA,Warning
0,Fall,MT119,Calculus and Analytical Geometry,3,F,0,0.82,0.82,2
0,Fall,CS118,Programming Fundamentals,3,F,0,0.82,0.82,2
0,Fall,EE182,Basic Electronics,3,F,0,0.82,0.82,2
0,Fall,SS101,English Language,3,A-,3.67,0.82,0.82,2
0,Fall,MT104,Linear Algebra,3,FA,0,0.82,0.82,2
0,Fall,CL118,Programming Fundamentals - Lab,1,F,0,0.82,0.82,2
0,Fall,SL101,English Language Lab,1,B,3,0.82,0.82,2
0,Spring,MT104,Linear Algebra,3,F,0,1,1.5,2
0,Spring,SS122,English Composition,3,B,3,1,1.5,2
0,Spring,CS118,Programming Fundamentals,3,F,0,1,1.5,2
0,Spring,MT119,Calculus and Analytical Geometry,3,D+,1.33,1,1.5,2
0,Spring,CL118,Programming Fundamentals - Lab,1,F,0,1,1.5,2
0,Spring,EE182,Basic Electronics,3,D,1,1,1.5,2
0,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
0,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
0,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
0,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
0,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
0,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
0,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
0,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
0,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
0,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
0,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
0,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
0,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
0,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
1,Fall,MT104,Linear Algebra,3,B,3,3.27,3.27,0
1,Fall,MT119,Calculus and Analytical Geometry,3,B+,3.33,3.27,3.27,0
1,Fall,CS118,Programming Fundamentals,3,A,4,3.27,3.27,0
1,Fall,CL118,Programming Fundamentals - Lab,1,A+,4,3.27,3.27,0
1,Fall,EE182,Basic Electronics,3,C-,1.67,3.27,3.27,0
1,Fall,SL101,English Language Lab,1,A-,3.67,3.27,3.27,0
1,Fall,SS101,English Language,3,A+,4,3.27,3.27,0
1,Fall,CS201,Data Structures,3,A,4,3.75,3.57,0
1,Spring,EE227,Digital Logic Design,3,A+,4,3.71,3.49,0
1,Spring,SS122,English Composition,3,A,4,3.71,3.49,0
1,Spring,MT224,Differential Equations (Cal II),3,A-,3.67,3.71,3.49,0
1,Spring,SS111,Islamic and Religious Studies,3,B,3,3.71,3.49,0
1,Spring,CS217,Computer Programming,3,A,4,3.71,3.49,0
1,Spring,EL227,Digital Logic Design - Lab,1,B,3,3.71,3.49,0
1,Spring,CL217,Computer Programming Lab,1,A+,4,3.71,3.49,0
1,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
1,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
1,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
1,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
1,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
1,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
1,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
2,Fall,CL118,Programming Fundamentals - Lab,1,A+,4,3.73,3.73,0
2,Fall,EE182,Basic Electronics,3,A+,4,3.73,3.73,0
2,Fall,SS101,English Language,3,A-,3.67,3.73,3.73,0
2,Fall,CS118,Programming Fundamentals,3,A+,4,3.73,3.73,0
2,Fall,SL101,English Language Lab,1,B+,3.33,3.73,3.73,0
2,Fall,MT104,Linear Algebra,3,B,3,3.73,3.73,0
2,Fall,MT119,Calculus and Analytical Geometry,3,A,4,3.73,3.73,0
2,Fall,CS201,Data Structures,3,A+,4,3.38,3.57,0
2,Spring,CL217,Computer Programming Lab,1,A+,4,3.59,3.66,0
2,Spring,CS217,Computer Programming,3,A+,4,3.59,3.66,0
2,Spring,MT224,Differential Equations (Cal II),3,A,4,3.59,3.66,0
2,Spring,SS111,Islamic and Religious Studies,3,B+,3.33,3.59,3.66,0
2,Spring,EL227,Digital Logic Design - Lab,1,A,4,3.59,3.66,0
2,Spring,SS122,English Composition,3,C+,2.33,3.59,3.66,0
2,Spring,EE227,Digital Logic Design,3,A,4,3.59,3.66,0
2,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
2,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
2,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
2,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
2,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
2,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
2,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
3,Fall,SL101,English Language Lab,1,B+,3.33,2.9,2.9,0
3,Fall,EE182,Basic Electronics,3,B-,2.67,2.9,2.9,0
3,Fall,CS118,Programming Fundamentals,3,B-,2.67,2.9,2.9,0
3,Fall,SS101,English Language,3,B+,3.33,2.9,2.9,0
3,Fall,MT119,Calculus and Analytical Geometry,3,C+,2.33,2.9,2.9,0
3,Fall,MT104,Linear Algebra,3,B+,3.33,2.9,2.9,0
3,Fall,CL118,Programming Fundamentals - Lab,1,B,3,2.9,2.9,0
3,Fall,CS201,Data Structures,3,B+,3.33,2.73,3.05,0
3,Spring,SS111,Islamic and Religious Studies,3,B,3,3.51,3.21,0
3,Spring,SS122,English Composition,3,A,4,3.51,3.21,0
3,Spring,MT224,Differential Equations (Cal II),3,B,3,3.51,3.21,0
3,Spring,CL217,Computer Programming Lab,1,A-,3.67,3.51,3.21,0
3,Spring,EE227,Digital Logic Design,3,A-,3.67,3.51,3.21,0
3,Spring,EL227,Digital Logic Design - Lab,1,B,3,3.51,3.21,0
3,Spring,CS217,Computer Programming,3,A,4,3.51,3.21,0
3,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
3,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
3,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
3,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
3,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
3,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
3,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
4,Fall,MT104,Linear Algebra,3,F,0,1.22,1.22,2
4,Fall,CS118,Programming Fundamentals,3,D,1,1.22,1.22,2
4,Fall,CL118,Programming Fundamentals - Lab,1,B,3,1.22,1.22,2
4,Fall,SL101,English Language Lab,1,A-,3.67,1.22,1.22,2
4,Fall,SS101,English Language,3,B-,2.67,1.22,1.22,2
4,Fall,MT119,Calculus and Analytical Geometry,3,D,1,1.22,1.22,2
4,Fall,EE182,Basic Electronics,3,F,0,1.22,1.22,2
4,Spring,EL227,Digital Logic Design - Lab,1,B+,3.33,1.24,1.52,2
4,Spring,EE182,Basic Electronics,3,D,1,1.24,1.52,2
4,Spring,EE227,Digital Logic Design,3,C,2,1.24,1.52,2
4,Spring,MT104,Linear Algebra,3,D,1,1.24,1.52,2
4,Spring,CS217,Computer Programming,3,F,0,1.24,1.52,2
4,Spring,CL217,Computer Programming Lab,1,C,2,1.24,1.52,2
4,Unknown,SS122,English Composition,3,UK,-1,0,0,0
4,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
4,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
4,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
4,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
4,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
4,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
4,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
4,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
4,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
4,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
5,Fall,MT104,Linear Algebra,3,F,0,1.33,1.33,2
5,Fall,CL118,Programming Fundamentals - Lab,1,F,0,1.33,1.33,2
5,Fall,CS118,Programming Fundamentals,3,F,0,1.33,1.33,2
5,Fall,MT119,Calculus and Analytical Geometry,3,D+,1.33,1.33,1.33,2
5,Fall,SS101,English Language,3,A,4,1.33,1.33,2
5,Fall,SL101,English Language Lab,1,A-,3.67,1.33,1.33,2
5,Fall,EE182,Basic Electronics,3,D,1,1.33,1.33,2
5,Spring,MT104,Linear Algebra,3,C-,1.67,1.62,1.89,2
5,Spring,SS122,English Composition,3,B+,3.33,1.62,1.89,2
5,Spring,EE227,Digital Logic Design,3,C-,1.67,1.62,1.89,2
5,Spring,CS118,Programming Fundamentals,3,F,0,1.62,1.89,2
5,Spring,EL227,Digital Logic Design - Lab,1,D,1,1.62,1.89,2
5,Spring,CL118,Programming Fundamentals - Lab,1,C-,1.67,1.62,1.89,2
5,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
5,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
5,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
5,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
5,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
5,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
5,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
5,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
5,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
5,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
5,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
5,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
6,Fall,EE182,Basic Electronics,3,L1,0,0,0,1
6,Fall,CS118,Programming Fundamentals,3,L1,0,0,0,1
6,Fall,MT104,Linear Algebra,3,L1,0,0,0,1
6,Fall,MT119,Calculus and Analytical Geometry,3,L1,0,0,0,1
6,Fall,SL101,English Language Lab,1,L1,0,0,0,1
6,Fall,SS101,English Language,3,L1,0,0,0,1
6,Fall,CL118,Programming Fundamentals - Lab,1,L1,0,0,0,1
6,Unknown,SS122,English Composition,3,UK,-1,0,0,0
6,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
6,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
6,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
6,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
6,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
6,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
6,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
6,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
6,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
6,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
6,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
6,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
6,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
6,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
7,Fall,CS118,Programming Fundamentals,3,L1,0,0,0,1
7,Fall,SS101,English Language,3,L1,0,0,0,1
7,Fall,SL101,English Language Lab,1,L1,0,0,0,1
7,Fall,MT119,Calculus and Analytical Geometry,3,L1,0,0,0,1
7,Fall,MT104,Linear Algebra,3,L1,0,0,0,1
7,Fall,EE182,Basic Electronics,3,L1,0,0,0,1
7,Fall,CL118,Programming Fundamentals - Lab,1,L1,0,0,0,1
7,Unknown,SS122,English Composition,3,UK,-1,0,0,0
7,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
7,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
7,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
7,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
7,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
7,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
7,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
7,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
7,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
7,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
7,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
7,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
7,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
7,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
8,Fall,SL101,English Language Lab,1,B+,3.33,2.37,2.37,0
8,Fall,CL118,Programming Fundamentals - Lab,1,A,4,2.37,2.37,0
8,Fall,SS101,English Language,3,A-,3.67,2.37,2.37,0
8,Fall,EE182,Basic Electronics,3,C-,1.67,2.37,2.37,0
8,Fall,MT104,Linear Algebra,3,C-,1.67,2.37,2.37,0
8,Fall,MT119,Calculus and Analytical Geometry,3,D+,1.33,2.37,2.37,0
8,Fall,CS118,Programming Fundamentals,3,B-,2.67,2.37,2.37,0
8,Fall,CS201,Data Structures,3,F,0,0.33,1.84,0
8,Spring,SS122,English Composition,3,B+,3.33,1,1.69,0
8,Spring,SS113,Pakistan Studies,3,F,0,1,1.69,0
8,Spring,MT224,Differential Equations (Cal II),3,F,0,1,1.69,0
8,Spring,CL217,Computer Programming Lab,1,D+,1.33,1,1.69,0
8,Spring,CS217,Computer Programming,3,D,1,1,1.69,0
8,Spring,EE227,Digital Logic Design,3,F,0,1,1.69,0
