CL118,CL217,CS118,CS217,EE182,EE227,EL227,MT104,MT119,MT224,SL101,SS101,SS111,SS113,SS122,CGPA,Warning,CS201
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Good,Good,Unknown,Average,Good,Excellent,Excellent
Average,Average,Average,Bad,Good,Good,Good,Average,Average,Average,Excellent,Excellent,Good,Unknown,Excellent,Average,Excellent,Good
Bad,Unknown,Average,Unknown,Good,Average,Average,Average,Good,Good,Good,Excellent,Good,Unknown,Good,Average,Excellent,Worst
Excellent,Good,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Unknown,Excellent,Excellent,Excellent,Excellent
Bad,Unknown,Average,Unknown,Average,Average,Average,Average,Bad,Unknown,Excellent,Excellent,Good,Unknown,Excellent,Average,Excellent,Average
Average,Unknown,Average,Unknown,Good,Good,Good,Good,Excellent,Excellent,Good,Excellent,Good,Unknown,Excellent,Good,Excellent,Average
Good,Average,Good,Average,Good,Good,Excellent,Average,Excellent,Average,Excellent,Excellent,Good,Unknown,Excellent,Good,Excellent,Good
Excellent,Average,Average,Worst,Good,Excellent,Excellent,Average,Average,Bad,Good,Good,Average,Unknown,Bad,Average,Excellent,Good
Good,Average,Average,Good,Good,Good,Average,Good,Average,Good,Good,Average,Excellent,Unknown,Bad,Good,Excellent,Excellent
Average,Good,Average,Average,Good,Good,Excellent,Average,Good,Average,Excellent,Excellent,Good,Unknown,Good,Good,Excellent,Excellent
Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Unknown,Bad,Excellent,Good,Excellent,Good
Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Unknown,Excellent,Excellent,Excellent,Excellent
Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Excellent,Good,Unknown,Good,Good,Excellent,Excellent
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Unknown,Excellent,Excellent,Excellent,Excellent
Good,Good,Average,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Good,Good,Unknown,Bad,Good,Excellent,Good
Average,Average,Average,Worst,Good,Average,Good,Average,Good,Average,Excellent,Good,Unknown,Average,Average,Average,Excellent,Good
Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Unknown,Average,Good,Good,Excellent,Excellent
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Unknown,Good,Good,Good,Excellent,Excellent
Good,Good,Average,Average,Good,Good,Average,Good,Excellent,Average,Good,Excellent,Unknown,Excellent,Good,Good,Excellent,Average
Good,Good,Average,Average,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Unknown,Excellent,Good,Excellent,Good
