CL118,CL217,CS118,CS217,EE182,EE227,EL227,MT104,MT119,MT224,SL101,SS101,SS111,SS113,SS122,CGPA,Warning,CS201
Excellent,Excellent,Excellent,Excellent,Average,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Good,Unknown,Excellent,Good,Excellent,Excellent
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Good,Excellent,Good,Unknown,Average,Good,Excellent,Excellent
Good,Excellent,Good,Excellent,Good,Excellent,Good,Good,Average,Good,Good,Good,Good,Unknown,Excellent,Good,Excellent,Good
Excellent,Bad,Good,Bad,Average,Worst,Good,Average,Bad,Worst,Good,Excellent,Unknown,Worst,Good,Average,Excellent,Worst
Average,Average,Average,Average,Good,Unknown,Unknown,Bad,Bad,Good,Bad,Average,Unknown,Worst,Unknown,Average,Excellent,Worst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Unknown,Excellent,Good,Excellent,Excellent,Excellent
Good,Bad,Average,Good,Excellent,Average,Good,Unknown,Average,Average,Excellent,Excellent,Good,Excellent,Good,Good,Excellent,Good
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Unknown,Excellent,Excellent,Excellent,Excellent
Average,Good,Bad,Bad,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Unknown,Average,Good,Excellent,Good
Average,Average,Average,Bad,Average,Average,Average,Good,Good,Good,Good,Good,Average,Unknown,Average,Average,Excellent,Average
Excellent,Average,Good,Bad,Good,Excellent,Average,Good,Good,Good,Excellent,Excellent,Excellent,Unknown,Excellent,Good,Excellent,Good
Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Unknown,Excellent,Excellent,Excellent,Excellent,Excellent
Average,Unknown,Average,Unknown,Bad,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Unknown,Good,Good,Excellent,Good
Average,Average,Bad,Average,Bad,Average,Average,Average,Average,Worst,Excellent,Excellent,Good,Unknown,Excellent,Average,Excellent,Average
Good,Average,Good,Average,Average,Good,Average,Good,Good,Average,Excellent,Excellent,Good,Unknown,Excellent,Good,Excellent,Good
Bad,Unknown,Average,Unknown,Good,Good,Average,Average,Good,Average,Good,Average,Unknown,Average,Good,Average,Excellent,Worst
Good,Unknown,Good,Unknown,Good,Average,Bad,Good,Good,Average,Good,Excellent,Good,Unknown,Average,Average,Excellent,Average
Bad,Unknown,Average,Unknown,Average,Good,Good,Average,Good,Average,Good,Good,Good,Unknown,Average,Average,Excellent,Worst
Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Average,Unknown,Average,Bad,Good,Excellent,Excellent
Excellent,Excellent,Good,Good,Good,Good,Excellent,Good,Excellent,Average,Excellent,Excellent,Unknown,Bad,Average,Good,Excellent,Good
Good,Excellent,Excellent,Excellent,Average,Good,Excellent,Good,Average,Good,Excellent,Good,Good,Unknown,Bad,Good,Excellent,Excellent
Good,Average,Good,Average,Good,Bad,Good,Good,Average,Average,Excellent,Excellent,Unknown,Good,Excellent,Good,Excellent,Good
Good,Bad,Good,Worst,Bad,Bad,Average,Bad,Average,Unknown,Excellent,Excellent,Unknown,Excellent,Good,Average,Excellent,Average
Good,Worst,Good,Worst,Average,Average,Average,Good,Average,Unknown,Excellent,Excellent,Unknown,Good,Excellent,Average,Excellent,Worst
Average,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Good,Unknown,Excellent,Good,Good,Excellent,Good
Good,Unknown,Good,Unknown,Average,Average,Bad,Good,Good,Excellent,Good,Good,Excellent,Unknown,Good,Good,Excellent,Worst
Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Unknown,Excellent,Good,Good,Excellent,Good
Excellent,Excellent,Good,Good,Average,Good,Excellent,Average,Average,Good,Good,Average,Unknown,Average,Average,Average,Excellent,Good
Average,Excellent,Average,Good,Average,Average,Excellent,Good,Average,Good,Good,Average,Average,Unknown,Bad,Average,Excellent,Excellent
Excellent,Excellent,Good,Average,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Unknown,Excellent,Excellent,Good,Excellent,Good
Average,Unknown,Average,Unknown,Excellent,Unknown,Unknown,Bad,Excellent,Unknown,Bad,Good,Unknown,Unknown,Bad,Average,Excellent,Average
Good,Good,Average,Average,Average,Average,Average,Excellent,Average,Bad,Excellent,Good,Unknown,Average,Good,Average,Excellent,Good
Excellent,Excellent,Good,Good,Good,Good,Good,Excellent,Average,Excellent,Excellent,Excellent,Unknown,Good,Excellent,Good,Excellent,Excellent
Average,Good,Average,Bad,Average,Excellent,Excellent,Average,Average,Average,Good,Excellent,Unknown,Average,Excellent,Average,Excellent,Good
Average,Unknown,Average,Unknown,Good,Unknown,Unknown,Bad,Bad,Unknown,Average,Good,Good,Unknown,Good,Average,Worst,Worst
Bad,Average,Average,Worst,Good,Good,Good,Good,Average,Good,Good,Good,Unknown,Excellent,Good,Average,Excellent,Good
Good,Good,Good,Average,Excellent,Good,Good,Good,Average,Average,Excellent,Excellent,Unknown,Good,Good,Good,Excellent,Average
Good,Excellent,Average,Average,Good,Good,Excellent,Bad,Average,Good,Good,Good,Good,Unknown,Good,Average,Excellent,Good
Average,Average,Bad,Bad,Good,Good,Good,Good,Average,Average,Good,Excellent,Unknown,Average,Good,Average,Excellent,Average
Bad,Average,Bad,Bad,Good,Average,Good,Average,Average,Average,Good,Good,Good,Unknown,Average,Average,Excellent,Good
